Name,NumberOfLinesAdded,NumberOfLinesRemoved,ChangedByNCommitsInCurrentVersion,ChangedByNCommitsInCurrentVersionAndPreviousVersions,BugsFixedInNCommits,AuthorsInCurrentVersion,AuthorsInCurrentAndPreviousVersions,AuthorsAvgExpertise,AuthorsMinExpertise,AvgCommitTimeForCurrentVersion,AvgCommitTimeForCurrentVersionAndPreviousVersions,ChangedComments,UnchangedComments
LlapCoordinator.java,0,0,2,4,0,2,4,704,704,5,2,0,0
LlapTaskUmbilicalExternalClient.java,28,0,7,24,0,7,24,395,225,37,14,0,2
LlapTokenLocalClientImpl.java,0,0,1,2,0,1,2,704,704,0,0,0,0
LlapTokenClient.java,0,0,2,4,0,2,4,704,704,93,31,0,0
LlapProtocolClientProxy.java,0,0,1,5,0,1,5,704,704,0,47,0,0
ServiceInstance.java,0,0,1,8,1,1,8,349,349,0,85,5,0
ServiceInstanceSet.java,0,0,4,13,1,4,13,526,349,51,55,5,1
ServiceRegistry.java,0,0,2,8,0,2,8,704,704,3,95,19,0
LlapTaskUmbilicalServer.java,0,0,1,5,0,1,5,256,256,0,34,0,0
LlapProxy.java,0,0,1,5,0,1,5,704,704,0,45,0,0
LlapIo.java,0,0,1,5,0,1,5,704,704,0,186,0,1
LlapZookeeperRegistryImpl.java,0,17,17,49,1,17,49,316,48,17,8,10,4
LlapFixedRegistryImpl.java,0,0,5,25,1,5,25,526,349,39,27,0,3
LlapRegistryService.java,0,0,3,21,0,3,21,526,349,8,35,2,1
SlotZnode.java,0,0,1,2,0,1,2,704,704,0,0,0,0
InactiveServiceInstance.java,0,0,2,4,1,2,4,526,349,73,24,0,1
serdeConstants.java,2,0,1,17,0,1,17,247,247,0,96,0,1
VerifyFast.java,0,0,2,9,0,2,9,114,114,99,79,0,1
TestOpenCSVSerde.java,2,0,1,2,0,1,2,173,173,0,967,0,1
TestStatsSerde.java,0,0,1,10,0,1,10,704,704,0,221,0,1
SerdeRandomRowSource.java,0,2,2,3,0,2,3,114,114,123,62,1,0
TestBinarySortableSerDe.java,0,0,1,17,0,1,17,704,704,0,167,0,1
MyTestPrimitiveClass.java,0,0,1,5,0,1,5,114,114,0,158,2,0
TestBinarySortableFast.java,0,0,5,14,0,5,14,409,114,30,48,0,2
TestLazyBinarySerDe.java,0,0,1,14,0,1,14,704,704,0,204,0,1
TestLazyBinaryFast.java,0,0,4,10,0,4,10,409,114,28,64,0,1
TestLazySimpleFast.java,0,0,3,10,0,3,10,114,114,12,57,0,0
TestAvroDeserializer.java,0,0,1,11,0,1,11,80,80,0,151,0,0
TestAvroSerdeUtils.java,0,0,1,7,0,1,7,80,80,0,252,0,0
TestAvroSerializer.java,0,0,1,10,0,1,10,114,114,0,186,1,0
TestDateWritable.java,0,0,1,7,0,1,7,704,704,0,103,0,0
TestTimestampWritable.java,13,0,2,11,0,2,11,63,63,0,138,0,0
TestColumnBuffer.java,271,0,1,1,0,1,1,63,63,0,0,28,0
TestStringToDouble.java,69,0,1,1,0,1,1,704,704,0,0,12,0
TestPrimitiveObjectInspectorUtils.java,0,0,1,7,0,1,7,256,256,0,197,0,1
AbstractSerDe.java,0,0,1,8,0,1,8,704,704,0,190,0,1
WriteBuffers.java,0,0,1,18,0,1,18,704,704,0,47,0,0
MetadataTypedColumnsetSerDe.java,2,0,1,20,0,1,20,247,247,0,161,0,1
SerDeUtils.java,2,0,3,51,0,3,51,475,247,88,62,2,1
ColumnProjectionUtils.java,52,0,2,24,0,2,24,52,35,39,112,15,0
DefaultFetchFormatter.java,0,0,1,9,0,1,9,704,704,0,133,0,1
Serializer.java,0,1,1,11,0,1,11,704,704,0,298,4,0
Deserializer.java,0,1,1,8,0,1,8,704,704,0,425,4,0
BinarySortableSerDe.java,3,0,2,36,0,2,36,180,114,32,78,58,1
ColumnarSerDe.java,0,0,1,19,0,1,19,704,704,0,152,4,0
LazyBinaryUtils.java,2,0,2,26,0,2,26,294,114,44,111,0,2
LazyBinarySerDe.java,3,0,2,32,0,2,32,180,114,32,87,24,1
LazyBinaryHiveDecimal.java,0,0,1,5,0,1,5,114,114,0,341,0,1
SerializeWrite.java,0,0,2,8,0,2,8,114,114,123,90,3,0
DeserializeRead.java,0,0,3,9,0,3,9,114,114,12,65,0,0
LazySerDeParameters.java,2,0,1,8,0,1,8,247,247,0,101,0,1
LazySimpleSerDe.java,0,0,1,31,0,1,31,704,704,0,94,8,0
LazyUtils.java,0,0,1,42,0,1,42,109,109,0,67,0,0
LazyHiveDecimal.java,0,0,1,9,0,1,9,114,114,0,170,14,0
LazyTimestamp.java,4,0,1,7,0,1,7,109,109,0,291,0,0
LazyDate.java,4,0,1,4,0,1,4,109,109,0,345,0,0
AvroDeserializer.java,0,0,2,24,0,2,24,276,80,232,75,0,1
InstanceCache.java,0,0,1,6,0,1,6,35,35,0,348,0,1
AvroSerdeUtils.java,25,0,4,19,0,4,19,148,80,77,97,10,1
AvroSerDe.java,5,0,2,21,0,2,21,124,2,56,87,0,2
HiveVarcharWritable.java,1,0,1,6,0,1,6,349,349,0,213,0,0
TimestampWritable.java,0,0,3,20,0,3,20,44,24,58,110,0,0
HiveCharWritable.java,1,0,1,3,0,1,3,349,349,0,506,0,0
TypeInfoUtils.java,0,3,3,40,0,3,40,324,151,122,79,0,1
HiveDecimalUtils.java,0,0,2,11,0,2,11,409,114,191,116,0,1
ColumnBuffer.java,11,0,2,4,0,2,4,98,63,173,92,5,0
ThriftJDBCBinarySerDe.java,5,0,2,3,0,2,3,190,133,42,158,0,2
ObjectInspectorUtils.java,43,0,3,69,0,3,69,156,114,149,45,4,0
StandardStructObjectInspector.java,0,0,2,15,1,2,15,143,2,145,221,0,2
ObjectInspectorFactory.java,3,0,1,25,0,1,25,2,2,0,129,0,1
BinarySortableDeserializeRead.java,0,0,4,12,0,4,12,114,114,41,57,5,0
BinarySortableSerializeWrite.java,0,0,1,10,0,1,10,114,114,0,70,4,0
LazyBinarySerializeWrite.java,16,0,2,9,0,2,9,114,114,40,82,11,0
LazyBinaryDeserializeRead.java,0,0,4,14,0,4,14,114,114,41,48,4,0
LazySimpleDeserializeRead.java,0,4,10,23,0,10,23,350,109,32,32,2,3
LazySimpleSerializeWrite.java,0,0,1,8,0,1,8,114,114,0,90,3,0
StringToDouble.java,279,0,4,4,0,4,4,358,9,19,19,71,1
LazyHiveDecimalObjectInspector.java,0,0,1,5,0,1,5,114,114,0,341,1,0
JavaBinaryObjectInspector.java,2,0,1,6,0,1,6,173,173,0,408,0,1
WritableConstantHiveDecimalObjectInspector.java,0,0,1,7,0,1,7,114,114,0,227,3,0
PrimitiveObjectInspectorUtils.java,1,0,3,40,0,3,40,358,114,84,72,4,1
TestLdapAtnProviderWithMiniDS.java,0,397,5,12,0,5,12,116,80,37,30,2,1
TestLdapAuthenticationProviderImpl.java,66,0,2,6,0,2,6,116,80,108,133,0,1
TestPlainSaslHelper.java,0,0,1,7,0,1,7,247,247,0,197,0,0
TestRetryingThriftCLIServiceClient.java,0,0,3,8,0,3,8,322,15,85,69,0,2
CLIServiceRestoreTest.java,0,0,1,3,0,1,3,247,247,0,93,0,0
CLIServiceTest.java,0,0,4,30,0,4,30,73,13,61,48,0,2
TestHS2HttpServer.java,3,0,5,10,0,5,10,148,12,59,47,0,3
LdapAuthenticationTestCase.java,148,0,2,2,0,2,2,116,80,82,82,17,1
TestCustomQueryFilter.java,0,0,1,2,0,1,2,80,80,0,0,0,0
TestUserSearchFilter.java,0,0,1,2,0,1,2,80,80,0,0,0,0
TestChainFilter.java,0,0,1,2,0,1,2,80,80,0,0,0,0
User.java,99,0,1,1,0,1,1,80,80,0,0,17,0
TestUserFilter.java,0,0,1,2,0,1,2,80,80,0,0,0,0
TestLdapUtils.java,0,0,1,2,0,1,2,80,80,0,0,0,0
Credentials.java,0,0,1,2,0,1,2,80,80,0,0,0,0
TestQueryFactory.java,24,0,2,3,0,2,3,116,80,108,54,0,1
TestQuery.java,0,0,1,2,0,1,2,80,80,0,0,0,0
TestGroupFilter.java,60,0,2,3,0,2,3,116,80,108,54,0,1
LdapTestUtils.java,0,0,1,2,0,1,2,80,80,0,0,0,0
TestLdapSearch.java,84,0,2,3,0,2,3,116,80,108,54,0,1
TestSearchResultHandler.java,0,0,1,2,0,1,2,80,80,0,0,0,0
TestSessionManagerMetrics.java,282,0,3,6,0,3,6,197,151,32,68,16,0
TestSessionGlobalInitFile.java,0,0,1,10,0,1,10,247,247,0,80,0,0
TestSessionCleanup.java,0,0,2,4,0,2,4,164,81,54,18,0,0
TestPluggableHiveSessionImpl.java,44,0,1,7,0,1,7,24,24,0,72,0,1
TestSessionHooks.java,0,0,1,6,0,1,6,247,247,0,212,0,0
TestSQLOperationMetrics.java,156,0,2,2,0,2,2,120,49,24,24,20,1
ThriftCLIServiceTest.java,0,0,1,15,0,1,15,15,15,0,85,0,1
ThriftCliServiceTestWithCookie.java,0,0,2,6,0,2,6,74,15,83,130,0,2
AbstractService.java,0,0,1,6,0,1,6,24,24,0,263,0,1
ServiceUtils.java,7,0,1,3,0,1,3,15,15,0,414,0,1
LlapServlet.java,0,0,2,5,1,2,5,464,225,229,72,0,1
LdapAuthenticationProviderImpl.java,0,0,2,22,0,2,22,80,80,42,61,0,0
HiveAuthFactory.java,0,96,2,35,0,2,35,116,80,122,38,7,0
CLIService.java,5,0,8,52,0,8,52,178,13,27,28,10,5
JobProgressUpdate.java,0,0,2,4,0,2,4,131,15,111,65,17,1
CLIServiceClient.java,7,0,2,7,0,2,7,418,133,144,242,1,1
EmbeddedCLIServiceClient.java,3,0,2,10,0,2,10,360,15,85,155,1,1
ColumnBasedSet.java,0,0,1,7,0,1,7,63,63,0,186,0,1
ICLIService.java,0,0,1,12,0,1,12,15,15,0,127,0,1
OperationStatus.java,0,0,2,8,0,2,8,83,15,254,159,0,1
ProgressMonitorStatusMapper.java,0,1,2,4,0,2,4,131,15,111,65,21,0
TezProgressMonitorStatusMapper.java,0,1,2,4,0,2,4,131,15,111,65,21,0
ColumnValue.java,0,0,1,17,0,1,17,704,704,0,74,0,0
HiveServer2.java,12,0,11,68,0,11,68,246,12,24,21,6,1
Filter.java,0,0,1,2,0,1,2,80,80,0,0,0,0
LdapSearchFactory.java,0,0,1,2,0,1,2,80,80,0,0,0,0
SearchResultHandler.java,0,0,1,2,0,1,2,80,80,0,0,0,0
ChainFilterFactory.java,0,0,1,2,0,1,2,80,80,0,0,0,0
FilterFactory.java,0,0,1,2,0,1,2,80,80,0,0,0,0
QueryFactory.java,36,0,2,3,0,2,3,116,80,108,54,13,0
UserFilterFactory.java,0,0,1,2,0,1,2,80,80,0,0,0,0
Query.java,0,0,2,23,0,2,23,116,80,108,122,6,0
GroupFilterFactory.java,66,0,2,3,0,2,3,116,80,108,54,0,1
LdapUtils.java,0,0,1,2,0,1,2,80,80,0,0,0,0
LdapSearch.java,17,0,2,3,0,2,3,116,80,108,54,6,0
DirSearch.java,17,0,2,3,0,2,3,116,80,108,54,13,0
UserSearchFilterFactory.java,0,0,1,2,0,1,2,80,80,0,0,0,0
CustomQueryFilterFactory.java,0,0,1,2,0,1,2,80,80,0,0,0,0
DirSearchFactory.java,0,0,1,2,0,1,2,80,80,0,0,0,0
HiveSession.java,8,0,2,15,0,2,15,418,133,235,104,5,0
HiveSessionImpl.java,30,0,13,85,0,13,85,133,17,24,17,1,5
HiveSessionImplwithUGI.java,0,5,2,29,0,2,29,364,24,95,47,0,1
SessionManager.java,83,0,5,47,0,5,47,175,133,26,28,2,0
OperationManager.java,0,4,5,32,0,5,32,300,17,23,45,0,2
Operation.java,0,5,10,48,0,10,48,223,17,32,30,0,4
ExecuteStatementOperation.java,0,0,1,11,0,1,11,704,704,0,122,0,0
ClassicTableTypeMapping.java,5,0,1,6,0,1,6,173,173,0,216,0,0
MetadataOperation.java,0,0,2,12,1,2,12,443,182,42,110,0,0
GetColumnsOperation.java,0,0,1,15,0,1,15,247,247,0,98,0,1
SQLOperation.java,29,0,14,71,0,14,71,212,15,22,21,5,6
SQLOperationDisplay.java,0,0,1,5,0,1,5,704,704,0,37,0,0
ThriftBinaryCLIService.java,1,0,1,21,0,1,21,151,151,0,56,0,1
ThriftHttpServlet.java,0,0,3,25,0,3,25,222,133,66,50,1,0
ThriftCLIService.java,36,0,8,62,0,8,62,79,15,44,23,3,2
ThriftCLIServiceClient.java,9,0,3,19,0,3,19,290,15,127,77,1,1
RetryingThriftCLIServiceClient.java,1,0,2,11,0,2,11,360,15,85,48,0,2
ThriftHttpCLIService.java,0,0,2,24,0,2,24,366,182,249,53,0,1
TestLlapTaskCommunicator.java,0,0,3,10,0,3,10,464,225,58,30,0,0
TestLlapTaskSchedulerService.java,0,0,5,32,1,5,32,287,225,52,23,16,1
LlapTezUtils.java,0,0,2,5,0,2,5,349,349,2,41,0,0
LlapTaskSchedulerService.java,47,0,16,68,2,16,68,282,48,14,10,68,5
LlapContainerLauncher.java,0,0,1,6,0,1,6,225,225,0,144,1,0
LlapTaskCommunicator.java,18,0,17,67,0,17,67,426,225,17,11,30,5
SourceStateTracker.java,0,0,2,13,0,2,13,225,225,239,56,0,1
LlapTaskSchedulerMetrics.java,0,0,1,3,0,1,3,83,83,0,164,0,1
